wavelet_mean,sample_entropy,shannon_entropy,rms
3.270232595674725e-05,0.1515102205035253,0.759159910755614,4.951224712687786e-05
1.363721565711505e-05,0.449589800487654,0.6792447944293888,1.705008336379953e-05
1.385384425052135e-05,0.4026262166752872,0.6353407902448086,1.950205623201575e-05
1.567229650745719e-05,0.51005192855095,0.6977104183394047,1.689620448803261e-05
1.077429069923848e-05,0.7292354624053993,0.7153779578333229,1.055445082227872e-05
1.013098782577401e-05,0.7805846904724687,0.651041018144025,9.793588785917588e-06
3.488221025555953e-05,0.1104762414452022,0.7802837858651014,5.380136052690318e-05
2.485507549235989e-05,0.1945954246021933,0.7802191660040068,4.031894880640079e-05
9.607016587037113e-06,0.7973942105240928,0.6467599499302377,9.568765462854017e-06
1.567212476234855e-05,0.4449421393340107,0.6404356231161014,1.916802527885203e-05
3.101049428128339e-05,0.2622741684321734,0.7792466546131996,3.867294899889113e-05
1.805169650882565e-05,0.3447799974125284,0.6691595087943085,2.17446936967018e-05
1.927967236017847e-05,0.3516549180995201,0.4750740081398051,2.128899354347315e-05
1.490297275625194e-05,0.4132651640889815,0.4657250106854766,1.713431529458159e-05
1.169571920776016e-05,0.5515090187278057,0.4330060670490485,1.295033643661211e-05
1.395398136553586e-05,0.4148681100487974,0.5658321613378141,1.734571771670451e-05
9.44928788775734e-06,0.7025860023450989,0.5090019020458089,9.979298996267575e-06
7.09311544281927e-06,1.006573409131584,0.6141557558995868,6.913127071232467e-06
1.023310286804177e-05,0.5334482762194975,0.7007587415468645,1.401226959871421e-05
8.088275773230638e-06,0.919861963755261,0.656064265968752,7.713401371489715e-06
1.940359347915601e-05,0.2877047678479964,0.6302825751312772,2.735505572421367e-05
8.363581077787396e-06,0.7486984482823846,0.5389026805043193,9.02631842457934e-06
9.794862565782695e-06,0.6662331069765373,0.6016522691841626,1.022723590775934e-05
7.222635659532774e-06,0.8870140365933342,0.6643979837788133,7.574391930346734e-06
6.787926583367384e-06,0.8942275841165463,0.5412304565720665,7.646002850022316e-06
7.700122664374137e-06,0.7965259743470405,0.5029688418665131,8.623019518154103e-06
6.283286263520837e-06,0.9889014490931615,0.5884461294339163,6.554220135787389e-06
7.608741149932627e-06,0.866419136582968,0.5113287978260805,7.811658519694588e-06
8.205177925657459e-06,0.8230185482584115,0.4896062042597596,8.48175611691395e-06
6.368801892741531e-06,1.016365155793548,0.6079620624155523,6.630197318225168e-06
8.266617291675004e-06,0.3839347892069824,0.4278136102179961,1.753875277004144e-05
9.834358089927132e-06,0.3294523061320169,0.4173877105722285,1.951809367540353e-05
6.203400009867547e-06,0.9473254450068552,0.5614871087677206,7.470794219580164e-06
6.232283684404124e-06,0.9206154046476197,0.4883618544862666,7.71805488397223e-06
6.70436513061573e-06,0.8568374554085771,0.4649146778432185,8.143580870053863e-06
6.456131893331709e-06,0.8491601491312737,0.4834546727687576,8.100171631571123e-06
7.273402486663298e-06,0.7654758495805931,0.4598326801416642,9.416550268377106e-06
9.04303170747295e-06,0.5629176866545075,0.3923055929158409,1.23142410333719e-05
6.461824070308522e-06,0.7655116301741072,0.4410890604068671,9.045584545757988e-06
2.367980204910768e-05,0.1676269364426665,0.7114945343566399,3.474267307351487e-05
2.484413114721691e-05,0.2766821725581896,0.7648930380917859,3.149221709287415e-05
1.246677395348089e-05,0.4203508467668766,0.6371733277557079,1.808861050550668e-05
1.104772027515992e-05,0.5406192518921004,0.6051000881317105,1.397656579348154e-05
6.13315936643705e-06,1.089843019800364,0.6762906423392808,6.213296472157841e-06
6.364807142998978e-06,0.9433126984826384,0.5237532319279385,7.389591633702508e-06
7.779875317404e-06,0.6927595356367025,0.4225696130537244,1.049949094530724e-05
8.209464114588245e-06,0.6234622641406807,0.4117897931100937,1.050936352730417e-05
1.181932531163495e-05,0.4301817120397712,0.5932142883773954,1.52868528392819e-05
5.420123080041634e-06,1.163574518791883,0.7122438908846904,5.039467817259113e-06
5.017768144067969e-06,1.243710934581747,0.7198425571810431,4.572306297178948e-06
7.047116449926709e-06,0.8575625501647622,0.5312318184552979,7.558439026285084e-06
5.995677384564919e-06,1.143159884054194,0.6680053219206336,5.429827843667478e-06
7.277262288027887e-06,0.9004176785379396,0.6076275039039318,7.4657629085479e-06
1.09222661658731e-05,0.3781762330659053,0.6341970566090607,1.84068322731049e-05
1.561610203755393e-05,0.2596688462765094,0.6122176111758343,2.37378986018415e-05
6.968326915502781e-06,0.7639234469272222,0.4593462107366675,8.604980473921693e-06
7.508989938222974e-06,0.8269295133719136,0.4952342519974812,8.301500254425055e-06
8.35960872099613e-06,0.6864827005450752,0.4686479767872592,9.66215822238023e-06
1.039035673837489e-05,0.4611009268743845,0.6045315763643933,1.527550167499677e-05
9.589189515186048e-06,0.4866211615231289,0.6529180971988092,1.441920347472981e-05
6.922030544865441e-06,0.8632481270427004,0.4642982530705132,8.146095680144688e-06
6.408721255654921e-06,0.9338838401787648,0.5131867295191452,7.261207105327209e-06
5.586551362264503e-06,1.217662838288447,0.642780469526143,5.922631620329823e-06
6.868571969713934e-06,0.8705240552195809,0.7024619704029899,9.011030133932868e-06
8.018673261130242e-06,0.7474442877797126,0.6876004348223618,9.952915396908811e-06
5.423631486037486e-06,1.290422784422983,0.7436748397371862,5.214351325380755e-06
6.154182013602588e-06,1.124625059791121,0.7137084257445101,6.256832317148134e-06
5.166595311309976e-06,1.304319555084547,0.7127180201282958,5.269351132089523e-06
4.810976253621804e-06,1.471605401709968,0.8296595547772391,4.247342662437245e-06
7.580552170932077e-06,0.5238336640962843,0.4981981392111167,1.515022365435518e-05
5.597120159757661e-06,1.340189715554895,0.7314202370326371,5.519031248509787e-06
5.291045430277965e-06,1.472306291716296,0.8239290599026987,4.836223749411091e-06
6.191254177847354e-06,0.9662859525080744,0.5293659838480907,8.891235769209535e-06
5.952711912013438e-06,1.125737738830996,0.6043131281965648,7.083746550530074e-06
5.285409407603005e-06,1.444023612801836,0.7714309199303728,5.047783559016278e-06
5.651227699688594e-06,1.358089071525916,0.7289058984977872,5.750821016617341e-06
6.344878178390981e-06,1.223572933812444,0.6858475509865432,6.884408658458963e-06
6.218131030863636e-06,1.162874324428762,0.7073964850985587,6.616221833335419e-06
4.963253006100505e-06,1.556635627381545,0.8497019577770208,4.479513800495124e-06
4.978642961201365e-06,1.596342139578303,0.8712673665014061,4.493468917574974e-06
6.259307416767994e-06,1.301104507311515,0.7209595186873435,6.243523544918736e-06
6.409029123375949e-06,1.268197842783021,0.695213117290636,6.488831559906358e-06
7.185492482668728e-06,1.090983215927473,0.6091034716224143,7.970139815089536e-06
7.592287239119539e-06,0.7785847496671792,0.4506117812606887,1.220824138122761e-05
5.418860109837672e-06,1.54426263022798,0.8404284963309475,4.899146655241509e-06
5.716380200053742e-06,1.408538461073392,0.7335652963043017,5.436265977457326e-06
7.161087818658914e-06,0.826447061238782,0.5008895298868814,1.097820855116678e-05
9.45416305534347e-06,0.7500257417280406,0.481732075392741,1.300437015569009e-05
6.349775645750953e-06,1.201219019683045,0.697023268286697,6.374852678008525e-06
7.296799927570674e-06,1.059781490380838,0.583875757186024,7.995109100573137e-06
