sample_entropy,shannon_entropy,rms,emg_activity,emg_mobility,emg_complexity
0.1490867209591989,0.8187083624132655,1.155424003892202e-05,5.604693636876978e-11,1.507026843730577,1.137542244869861
1.518395818770176,0.8241621049422796,1.41946233193858e-06,3.393075287026984e-12,1.46721043027649,1.157830728025168
1.182818585597383,0.8221990574614537,1.968527502177301e-06,2.283807187334571e-12,1.431486382850756,1.184272032477671
1.059305087710563,0.8453110155792666,1.920022836059879e-06,3.556187385851743e-12,1.238619895307576,1.435234316443375
1.747521243788206,0.8195933143522562,8.934549328716079e-07,1.086687622596563e-12,1.462606019892092,1.150917416724204
1.806085956940121,0.7494689930507554,7.196507646395016e-07,1.226743515486807e-12,1.452725182590961,1.15936267359914
0.06784326356955586,0.8363706214791069,1.364189008877006e-05,7.275568239323019e-11,1.43929521362266,1.183749451680671
0.06984995143871157,0.83415739899434,1.085392160740229e-05,4.643627309309471e-11,1.392037156879671,1.20619465001899
1.859810843219751,0.8285076956126157,6.108701662677224e-07,6.47805755078375e-13,1.442536494709214,1.182417858657991
0.7389781554612781,0.8104066849884911,2.596541054394621e-06,1.139785030461663e-11,1.464696737308062,1.160171126643199
0.3544038386633008,0.8089705543134935,8.802663395246185e-06,3.225978910067906e-11,1.396514859511915,1.210715192316665
0.6703300862880174,0.8201402132948137,2.757979805057464e-06,5.534785414161595e-12,1.421707707812465,1.200403529188045
0.3763511538037521,0.8281352702425522,4.874066057026246e-06,1.044829191903261e-11,1.448784427717846,1.19171772180631
1.347611939514418,0.8376943789409317,9.796612243463008e-07,1.329609702308199e-12,1.403180492942044,1.21183155104214
1.601473697833282,0.621337542887991,6.450372599624974e-07,1.331581652105429e-12,1.46553267678945,1.16105321157283
0.8212270705010969,0.8334450524037227,2.130502001263623e-06,4.495044778856928e-12,1.444994975827743,1.168045390779106
1.787885773145865,0.829104934968864,6.324069566171378e-07,6.031619658304243e-13,1.37748127138373,1.270956829633097
1.710209635968298,0.7741108591327295,5.898322071414181e-07,9.47381660315403e-13,1.416253452926365,1.204223524662909
0.7986559414926727,0.8346860665607225,1.69164110511969e-06,2.626043104653749e-12,1.510659291391051,1.132743002197845
0.226094796050125,0.8205020044410978,4.721299733532321e-06,9.332458901089724e-12,1.353012388662965,1.213836675700157
0.3548802625168321,0.8505791699056456,5.130767142198191e-06,2.927440025699787e-11,1.282156551059261,1.344775178995201
1.625589660724978,0.7923177130337706,9.096606104988536e-07,1.926841534757558e-12,1.420875163547475,1.199288754891178
1.460738197906509,0.8533367180044545,1.06501636541034e-06,1.046071874102636e-12,1.407514211987597,1.213382292958648
1.422726749474054,0.8510232978465928,9.489697714865625e-07,9.000019315933763e-13,1.407774475747035,1.209344493827015
1.895774962027694,0.8441401509150074,5.362447069227001e-07,3.120687826006595e-13,1.455794508832251,1.175740330280231
1.812448061081947,0.8421037338897395,5.537314800183262e-07,3.253559097474814e-13,1.426356415795547,1.200531919653527
1.869261846183347,0.8348485875970288,5.252910275551535e-07,3.321988217747323e-13,1.465292171175061,1.175419916902094
1.862393505344603,0.8426545798166103,5.172528307821409e-07,2.966302948481502e-13,1.427663575015687,1.198322482564237
1.900628022923958,0.8282487814854134,5.088346138734404e-07,3.246015840215877e-13,1.418009952589119,1.197746751086027
1.564587934067705,0.7535374624051363,6.809887233681487e-07,1.164931151992672e-12,1.454071155203922,1.172358153715127
1.866650910696906,0.8428791748666612,5.047125189610002e-07,3.469749909950033e-13,1.405759310653502,1.237744422646609
1.886204566180482,0.8206587106459863,4.679100746054689e-07,3.306351196689412e-13,1.409501364232826,1.19039445592579
1.389164993354005,0.6268501028369139,7.852008960162504e-07,2.130728678064762e-12,1.421171994729381,1.185586359874657
1.881717723328491,0.8200973482512757,4.847674316867162e-07,3.489195353135754e-13,1.432815300554557,1.187907426936669
1.857073334020062,0.8320018762780907,4.349855296613779e-07,2.798574889127544e-13,1.412528477801315,1.197744861385061
1.871114963634483,0.8345602354516571,4.124416879469667e-07,1.997827283968705e-13,1.425454222204369,1.197642823116559
1.876545673378846,0.8135856330702861,4.341197414550724e-07,2.963989706467485e-13,1.457434715596916,1.172837382063529
1.840226906127558,0.8304785507889818,4.103530050947825e-07,2.324765783647569e-13,1.43205551906069,1.190113113658923
1.827190273193873,0.8312853509685253,4.061735451483912e-07,2.124604695023577e-13,1.417941391363913,1.201278887477331
0.1515951173840223,0.8265560881057247,6.979885378252364e-06,2.275038276255321e-11,1.401878030561753,1.191878289736819
