wavelet_mean,sample_entropy,shannon_entropy,rms,Label
4.936719148867068e-06,1.579410904680501,0.9113575284780366,5.286645572448915e-06,1
3.772859888844334e-06,1.779432596606924,0.8583735964773603,4.457414326103179e-06,1
9.155872626730984e-06,0.8234432142775858,0.4929831746251747,1.17798525636506e-05,0
4.877353128513833e-06,1.645625411348376,0.9215557046220392,5.342148068454504e-06,1
6.687757977248605e-06,1.02408907726589,0.6954064317724318,6.535841424906915e-06,1
6.906408917470808e-06,1.08970348027383,0.765035728804872,7.576606833892188e-06,1
5.127292241206624e-06,1.367298004033263,0.823766821115806,5.081355999523268e-06,0
4.495909819639693e-06,1.628272502423816,0.9040762116890688,4.44874332884824e-06,1
6.35684915816034e-06,0.6807843912439885,0.5991433011295699,1.130839018258292e-05,1
3.034739007801326e-06,1.316891669567017,0.8337732417693399,2.89926174068981e-06,0
4.313670103866911e-06,1.414387569368551,0.8588145643102081,4.515781043406284e-06,1
8.64677289992635e-06,0.8993190869745659,0.6291443445966447,1.1112066031508e-05,1
5.241126811835175e-06,1.21231487406683,0.7996083369449168,5.15140008811066e-06,0
4.143574739426367e-06,1.761922973955517,0.905695839664416,5.155644599187249e-06,1
2.215067368956234e-05,0.3635692586462954,0.4799675626229289,2.917975554609335e-05,0
9.334729287086196e-06,0.6251744874033731,0.4305555921422494,1.221232204514578e-05,0
3.538198045141913e-06,1.155022638135429,0.7112170168110221,3.353857141422978e-06,0
3.192098485119947e-06,1.543840955737482,0.8625154702268579,2.986204899115731e-06,0
1.252063265075044e-05,1.291351501022379,0.7466333949870038,1.174338424333296e-05,0
3.588146064640213e-06,1.621370321781276,0.7906889435398462,4.020430342372528e-06,0
4.148359670480802e-06,1.242309799319183,0.6877140017139903,5.807805276257938e-06,0
1.385324479651557e-05,0.4381114993737169,0.5166489341763916,1.862120292948656e-05,0
4.399377485789791e-06,0.9197715906599304,0.5193849850991514,5.278916701488536e-06,1
3.272460044997355e-06,1.615133072826158,0.8821745588667989,3.077376093990083e-06,0
1.291743315497933e-05,0.3047688494504639,0.352251401468101,1.791006414534658e-05,0
9.79606139233758e-06,0.2738794906115369,0.4436686683486223,1.794344507681264e-05,0
3.303205631705957e-06,1.340109241129117,0.7799089234723809,2.962578169350523e-06,0
2.086541139611792e-05,0.4021880241993465,0.6362871219323976,2.754213241543361e-05,0
7.524380751340203e-06,0.3885651427241986,0.5632537712344025,1.187596394752131e-05,0
3.247719990810138e-06,1.517199049777145,0.8600428793431376,3.086613153611486e-06,0
1.411823985580501e-05,0.6647569240920351,0.6822990738451545,1.459368657632921e-05,0
1.334645537826607e-05,0.5750131115438898,0.5576457711120036,1.80806827331079e-05,0
3.179543541114919e-06,1.513821188260673,0.8392227000359983,3.008963563966036e-06,0
5.337776223889827e-06,0.98037222784518,0.5610916814666743,6.974074477305134e-06,1
1.064765167110436e-05,0.6348834017356775,0.7675873987205974,1.240859358909449e-05,0
4.089183807488331e-06,1.364557051239229,0.828617158138476,4.230874831216619e-06,0
