sample_entropy,shannon_entropy,rms,emg_activity,emg_mobility,emg_complexity,Label
1.458233876188457,0.5105621135668711,2.671491516839194e-07,3.10368893473943e-13,1.40116407256752,1.17586408006814,0
1.32393360590608,0.7828647894437399,2.935514219489419e-07,4.8178381744377314e-14,1.328075761969575,1.255336763932137,0
0.5627728846007469,0.8222278896264547,6.52502250226475e-06,1.9934498669361658e-11,1.35105332964351,1.24124341843888,1
1.708876634429412,0.8261852103503273,2.359848870982756e-07,3.438339121716256e-14,1.344074096057945,1.282408708559568,0
1.805137461875964,0.8301011684062496,1.14460364027222e-07,1.442817873307714e-14,1.375266657717891,1.248731042295958,1
1.102238377140669,0.534614744355157,5.424212223627944e-07,1.277644928508699e-12,1.474436459867279,1.164568289062774,0
1.747680548961288,0.7581364187622647,4.929425795610774e-07,5.488305439516599e-13,1.43412900787745,1.179958120213343,0
1.665890110105606,0.8271812926905483,1.228448703612648e-07,8.654751152318976e-15,1.34678191331509,1.279522285981892,0
1.316468565730728,0.7983563967881404,5.232898223302099e-07,1.9338075467118652e-13,1.381932008965893,1.218949379538395,0
1.293126168730265,0.776073257091475,2.381457845078153e-07,2.4447255116242123e-14,1.343905662013304,1.276529803241131,1
1.488138930040436,0.8056893989451024,5.630777288305091e-07,2.021725565546443e-13,1.308503312438003,1.335483770036038,1
0.5591430416805524,0.8036228879173533,9.770152381894505e-07,1.004312031135218e-12,1.378373368805308,1.226342917043973,0
1.713756644027156,0.8247155919549185,1.299362462582704e-07,1.1083396072552132e-14,1.394772105452119,1.217097115634102,0
0.6652896288917975,0.8589441020713414,4.312768501456085e-06,2.158437014147113e-11,1.407362272509032,1.198905028486344,1
1.577989425706939,0.8132353897553741,1.301934082013914e-07,8.490887381575221e-15,1.354421175869813,1.254740210025012,1
1.030248286315639,0.7613964234795192,5.424890703937363e-07,1.0778515568799211e-13,1.316517821391576,1.273623245195055,1
0.5666848256606538,0.7234792673261341,1.176909337439292e-06,3.796442620797985e-12,1.482343740883682,1.154130918664319,1
1.61195255273927,0.8212981536313047,2.717569482429642e-07,3.895877232781061e-14,1.383909477702587,1.214577486573592,1
1.081935725190967,0.7965097128440708,3.880899694962758e-07,5.823145167033005e-14,1.41746750182648,1.205523161932933,0
1.852719678354598,0.8081932757792067,4.609789604075747e-07,4.060428620498504e-13,1.45718472434481,1.173364456262221,0
1.880471565121933,0.8270128415201778,1.308116184643742e-07,1.9001387363035632e-14,1.354068582957431,1.305809043524718,0
0.5703386061128362,0.7778968548962598,1.858387503664701e-06,5.7257268428044805e-12,1.370401064982107,1.197005494548556,1
1.334863417127794,0.8172822050676046,4.42592754971097e-07,1.03840979620598e-13,1.430700151794535,1.190369562488098,1
1.595178450038393,0.8274049508310055,2.081122174628473e-07,6.591068880594109e-14,1.289504669267765,1.600614945177626,0
1.398186225527378,0.8257285271360713,3.093700263841701e-07,6.142887648247606e-14,1.346245395348086,1.28349688248455,0
1.214545160728516,0.7741491268033602,3.362504460179698e-07,5.0913548410849304e-14,1.292274584385629,1.309141893110743,0
0.3006268760320266,0.8011191613728835,3.591250638923507e-06,5.914025553249012e-12,1.348799902564501,1.255497774008768,1
1.527752946195502,0.7746559016108806,2.148481196539695e-07,4.801942910693828e-14,1.4002453280103,1.247834451718657,0
0.5516798505625256,0.8281654614345711,8.19025261253053e-07,5.904991046284722e-13,1.460874993159121,1.172945494656234,0
1.595275269522781,0.8269920160494111,1.940960332358944e-07,1.8833965072852462e-14,1.360544478488005,1.225248697040992,1
1.441377256404581,0.800349303034244,4.043098045607573e-07,8.04066654946099e-14,1.318605649101869,1.256693412475022,1
0.7289330355636106,0.7698929926273259,1.014029595646861e-06,2.6248878383772397e-12,1.425691926898166,1.199249880685109,0
